event_id,datetime,security,frequency,category,type,direction,count,perfect,reason,setup_type,setup_perfect,setup_first_dt,setup_last_dt,setup_highest_high,tdst_threshold,countdown_start_dt,count_1_dt,count_2_dt,count_3_dt,count_4_dt,count_5_dt,count_6_dt,count_7_dt,count_8_dt,countdown_8_close,count_9_dt,count_10_dt,count_11_dt,count_12_dt,count_13_dt,countdown_low_dt,countdown_low,countdown_low_bar_high,bar_close,bar_high,bar_low,pre20_avg_amount,pre20_volatility,pre20_return
600519SS_2020-12-31T000000_SELL_COUNTDOWN_PROGRESS_-1_2020-12-11T000000_7,2020-12-31 00:00:00,600519.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,7,,,SELL_SETUP,False,2020-12-01 00:00:00,2020-12-11 00:00:00,1660.79,1505.8,2020-12-11 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-22 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,,,,,,,,2020-12-16 00:00:00,1606.0,1631.46,1783.79,1784.77,1724.79,6850840691.2,0.017217,0.129768
600519SS_2021-01-04T000000_SELL_COUNTDOWN_PROGRESS_-1_2020-12-11T000000_8,2021-01-04 00:00:00,600519.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,8,,,SELL_SETUP,False,2020-12-01 00:00:00,2020-12-11 00:00:00,1660.79,1505.8,2020-12-11 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-22 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-04 00:00:00,1782.79,,,,,,2020-12-16 00:00:00,1606.0,1631.46,1782.79,1790.78,1769.6,6726384294.4,0.017233,0.115506
600519SS_2021-01-05T000000_SELL_COUNTDOWN_PROGRESS_-1_2020-12-11T000000_9,2021-01-05 00:00:00,600519.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,9,,,SELL_SETUP,False,2020-12-01 00:00:00,2020-12-11 00:00:00,1660.79,1505.8,2020-12-11 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-22 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-04 00:00:00,1782.79,2021-01-05 00:00:00,,,,,2020-12-16 00:00:00,1606.0,1631.46,1845.24,1845.24,1768.25,6725146892.8,0.018025,0.128042
600519SS_2021-01-06T000000_SELL_COUNTDOWN_PROGRESS_-1_2020-12-11T000000_10,2021-01-06 00:00:00,600519.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,10,,,SELL_SETUP,False,2020-12-01 00:00:00,2020-12-11 00:00:00,1660.79,1505.8,2020-12-11 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-22 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-04 00:00:00,1782.79,2021-01-05 00:00:00,2021-01-06 00:00:00,,,,2020-12-16 00:00:00,1606.0,1631.46,1885.79,1910.79,1821.82,6652608985.6,0.01808,0.159922
600519SS_2021-01-07T000000_SELL_COUNTDOWN_PROGRESS_-1_2020-12-11T000000_11,2021-01-07 00:00:00,600519.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,11,,,SELL_SETUP,False,2020-12-01 00:00:00,2020-12-11 00:00:00,1660.79,1505.8,2020-12-11 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-22 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-04 00:00:00,1782.79,2021-01-05 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,,,2020-12-16 00:00:00,1606.0,1631.46,1925.79,1925.79,1860.79,6763866048.0,0.018061,0.189721
000858SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000858.SZ,1d,SETUP,SELL_SETUP,-1,9,False,,SELL_SETUP,False,2020-12-28 00:00:00,2021-01-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,5870657637.674,0.025274,0.201844
000651SZ_2021-01-08T000000_SELL_SETUP_-1_2021-01-08T000000_9,2021-01-08 00:00:00,000651.SZ,1d,SETUP,SELL_SETUP,-1,9,False,,SELL_SETUP,False,2020-12-28 00:00:00,2021-01-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2888647893.2475,0.019595,0.018076
000651SZ_2021-01-08T000000_BUY_COUNTDOWN_CANCEL_1_2020-12-18T000000_3,2021-01-08 00:00:00,000651.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_CANCEL,1,3,,opposite_setup,BUY_SETUP,True,2020-12-08 00:00:00,2020-12-18 00:00:00,54.53,54.53,2020-12-18 00:00:00,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-25 00:00:00,,,,,,,,,,,,2020-12-25 00:00:00,44.92,45.97,50.69,52.36,49.99,2888647893.2475,0.019595,0.018076
600519SS_2021-01-11T000000_SELL_SETUP_PERFECT_-1_2021-01-11T000000_9,2021-01-11 00:00:00,600519.SS,1d,SETUP,SELL_SETUP_PERFECT,-1,9,True,,SELL_SETUP,True,2020-12-29 00:00:00,2021-01-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,7289324480.0,0.019372,0.167656
600519SS_2021-01-11T000000_SELL_COUNTDOWN_CANCEL_-1_2020-12-11T000000_11,2021-01-11 00:00:00,600519.SS,1d,COUNTDOWN,SELL_COUNTDOWN_CANCEL,-1,11,,same_setup,SELL_SETUP,False,2020-12-01 00:00:00,2020-12-11 00:00:00,1660.79,1505.8,2020-12-11 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-22 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-04 00:00:00,1782.79,2021-01-05 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,,,2020-12-16 00:00:00,1606.0,1631.46,1885.52,1936.29,1844.39,7289324480.0,0.019372,0.167656
