datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2021-01-08 00:00:00,000651.SZ,2020-12-18 00:00:00,True,54.53,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-25 00:00:00,,,,,,,,,,,,3,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2021-04-20 00:00:00,600036.SS,2021-04-16 00:00:00,True,42.34,,,,,,,,,,,,,,,0,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2021-05-07 00:00:00,601318.SS,2021-01-28 00:00:00,True,76.13,2021-01-28 00:00:00,2021-01-29 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,2021-02-09 00:00:00,2021-03-02 00:00:00,2021-03-08 00:00:00,72.93,2021-03-10 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-19 00:00:00,2021-03-22 00:00:00,13,True,NORMAL,True,,4fd088153331440c94618500e21b716b,100,80.05,5.3898,2021-03-23 00:00:00,8005.0,60.84,108.865,eb7acffbf32247468f6ec186db880f32,70.1,12.3514,2021-05-07 00:00:00,STOP_LOSS,-995.0,111.2,-901.54
2021-05-10 00:00:00,601318.SS,2021-04-13 00:00:00,True,67.53,2021-04-13 00:00:00,2021-04-15 00:00:00,2021-04-16 00:00:00,2021-04-26 00:00:00,2021-04-27 00:00:00,2021-05-06 00:00:00,2021-05-07 00:00:00,,,,,,,,7,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-06-10 00:00:00,601318.SS,2021-05-10 00:00:00,True,64.95,2021-05-10 00:00:00,2021-05-13 00:00:00,2021-05-19 00:00:00,2021-05-31 00:00:00,2021-06-01 00:00:00,2021-06-02 00:00:00,2021-06-03 00:00:00,2021-06-07 00:00:00,59.65,,,,,,8,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-06-21 00:00:00,000651.SZ,2021-01-29 00:00:00,True,51.08,2021-01-29 00:00:00,2021-02-01 00:00:00,2021-02-22 00:00:00,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-03-08 00:00:00,42.61,2021-03-15 00:00:00,2021-03-19 00:00:00,2021-03-22 00:00:00,2021-04-06 00:00:00,2021-04-07 00:00:00,13,False,NORMAL,True,,4c9a7d1e56534d45b946afe393bb142b,100,61.85,5.3012,2021-04-08 00:00:00,6185.0,40.29,94.19,14d195a0165d4271803126d875b0c522,51.11,10.3599,2021-06-21 00:00:00,STOP_LOSS,-1074.0,0.0,-1089.66
2021-06-22 00:00:00,000651.SZ,2021-04-15 00:00:00,False,49.49,2021-04-20 00:00:00,2021-04-21 00:00:00,2021-04-22 00:00:00,2021-04-26 00:00:00,2021-04-27 00:00:00,2021-04-28 00:00:00,2021-05-13 00:00:00,2021-05-14 00:00:00,43.73,2021-05-19 00:00:00,2021-05-24 00:00:00,2021-05-25 00:00:00,2021-05-26 00:00:00,2021-05-31 00:00:00,13,True,NORMAL,True,,7f061dc2eded4f93890a0669965da9cb,100,56.3,5.2742,2021-06-01 00:00:00,5630.0,38.89,82.415,478f755632554a65b925025ea97dddf4,49.82,10.2246,2021-06-22 00:00:00,STOP_LOSS,-648.0,0.0,-663.5
2021-07-08 00:00:00,600036.SS,2021-06-23 00:00:00,False,47.97,2021-06-29 00:00:00,2021-07-02 00:00:00,2021-07-05 00:00:00,,,,,,,,,,,,3,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-07-09 00:00:00,601318.SS,2021-06-10 00:00:00,False,62.17,2021-06-11 00:00:00,2021-06-15 00:00:00,2021-06-16 00:00:00,2021-06-17 00:00:00,2021-06-18 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,2021-06-29 00:00:00,53.75,2021-06-30 00:00:00,2021-07-02 00:00:00,2021-07-05 00:00:00,2021-07-08 00:00:00,,12,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-08-23 00:00:00,600519.SS,2021-07-14 00:00:00,False,1880.08,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-30 00:00:00,2021-08-06 00:00:00,2021-08-13 00:00:00,1505.12,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-08-23 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2021-08-23 00:00:00,000858.SZ,2021-07-13 00:00:00,False,276.62,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-30 00:00:00,2021-08-05 00:00:00,2021-08-06 00:00:00,2021-08-13 00:00:00,221.0,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-08-23 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
